L0;L1;L2;L3
NACIDOS EN EL EXTRANJERO;PAÍSES AMERICANOS;AMÉRICA DEL SUR;Perú
NACIDOS EN EL EXTRANJERO;PAÍSES AMERICANOS;AMÉRICA DEL SUR;Uruguay
NACIDOS EN EL EXTRANJERO;PAÍSES AMERICANOS;AMÉRICA DEL SUR;Venezuela
NACIDOS EN EL EXTRANJERO;PAÍSES AMERICANOS;AMÉRICA DEL SUR;Resto de América del Sur
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Arabia Saudí
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Bangladesh
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;China
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Corea
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Filipinas
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;India
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Indonesia
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Irán
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Iraq
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Israel
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Japón
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Jordania
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Kazajstán
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Líbano
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Nepal
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Pakistán
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Siria
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Tailandia
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Vietnam
NACIDOS EN EL EXTRANJERO;PAÍSES ASIÁTICOS;PAÍSES ASIÁTICOS;Resto de Países Asiáticos
NACIDOS EN EL EXTRANJERO;PAÍSES DE OCEANÍA;PAÍSES DE OCEANÍA;Australia
NACIDOS EN EL EXTRANJERO;PAÍSES DE OCEANÍA;PAÍSES DE OCEANÍA;Nueva Zelanda
NACIDOS EN EL EXTRANJERO;PAÍSES DE OCEANÍA;PAÍSES DE OCEANÍA;Resto de Países de Oceanía
